Course Code,Department,Course Name,Study Hours per Week,Average GPA Received,Average Letter Grade Received
ANTH 101,ANTH,Foundations/Social Complexity,4.6923076923076925,3.407,B+ (3.3)
ANTH 102,ANTH,Humans Are Cultural Animals,4.207142857142857,3.4495238095238094,B+ (3.3)
ANTH 103,ANTH,Social Anthropology,4.8525,3.3525,B+ (3.3)
ANTH 103,ANTH,Sociocultural Anthropology,4.649,3.501,B+ (3.3)
ANTH 105,ANTH,Climate Change Race& Inequal,4.871666666666667,3.41,B+ (3.3)
ANTH 106,ANTH,Climate and Civilization,4.44,3.546666666666667,B+ (3.3)
ANTH 107,ANTH,Dsgn:DisastersEmergWeather,5.08,3.7750000000000004,A- (3.7)
ANTH 108,ANTH,IndigPpls Develop& ClimChng,6.2749999999999995,3.7,A- (3.7)
ANTH 109,ANTH,ClimChngCultHertage&Vulnrabl,4.21,3.73,A- (3.7)
ANTH 111,ANTH,Religion&Ecology/Anthropocene,4.558,3.58,B+ (3.3)
ANTH 112,ANTH,Regenerative Science/Ecology,4.316666666666666,3.5133333333333336,B+ (3.3)
ANTH 2,ANTH,Human Origins,4.438529411764706,3.1332142857142857,B (3.0)
ANTH 21,ANTH,Race and Racisms,4.064038461538461,3.5793877551020405,B+ (3.3)
ANTH 23,ANTH,Debating Multiculturalism,4.182794117647059,3.4438709677419355,B+ (3.3)
ANTH 24,ANTH,Mapping Capitalism,2.5,3.71,A- (3.7)
ANTH 3,ANTH,Global Archaeology,3.253,3.5755555555555554,B+ (3.3)
ANTH 3,ANTH,World Prehistory,3.617142857142857,3.2899999999999996,B (3.0)
ANTH 4,ANTH,Words/Worlds/Intro to AN/Lang,3.615,3.075,B (3.0)
ANTH 42,ANTH,Study of Primates in Nature,4.428333333333334,3.145,B (3.0)
ANTH 43,ANTH,Intro/Bio & Culture of Race,4.665,3.2199999999999998,B (3.0)
ANTH 44,ANTH,New Media in the Korean Wave,1.62,3.74,A- (3.7)
ANTH 5,ANTH,Human Machine:Skeleton Within,3.75,3.64,B+ (3.3)
ANTH 5,ANTH,Intro Human Skeleton,4.6,2.92,B- (2.7)
AWP 1,AWP,Analytical Writing,7.678918918918919,2.51734693877551,C+ (2.3)
AWP 10,AWP,Lang&Learning in American Acad,5.492,3.5573913043478265,B+ (3.3)
AWP 2A,AWP,Analytical Writing A,6.117590361445783,2.7214285714285715,B- (2.7)
AWP 2B,AWP,Analytical Writing B,7.120833333333333,2.6813559322033895,C+ (2.3)
AWP 3,AWP,Analytical Writing,7.099369369369369,2.7392105263157895,B- (2.7)
AWP 4B,AWP,Analytical Writing B,6.635542168674699,2.86325,B- (2.7)
BENG 100,BENG,Intro to Bioengineering Design,8.8,3.1375,B (3.0)
BENG 100,BENG,Intro to Prob & Stats for BENG,5.89,3.5383333333333336,B+ (3.3)
BENG 100,BENG,Introduction to Bioengineering,5.44625,3.0225,B (3.0)
BENG 100,BENG,Stat Reasoning Bioeng Applns,8.99,2.804,B- (2.7)
BENG 101,BENG,Foundations/Biomedical Imaging,5.1946666666666665,3.119333333333333,B (3.0)
BENG 102,BENG,Moleculr Components Living Sys,5.56875,3.61,B+ (3.3)
BENG 103B,BENG,Bioengineering Mass Transfer,9.037,3.2024999999999997,B (3.0)
BENG 104GS,BENG,Physiology of Human Endur/Exer,7.45,3.52,B+ (3.3)
BENG 105GS,BENG,Performnce Sci/Austral Inst Sp,6.23,3.17,B (3.0)
BENG 109,BENG,BENG Statics & Dynamics,6.35375,3.04375,B (3.0)
BENG 110,BENG,Continuum Mechanics,8.564,3.072,B (3.0)
BENG 110,BENG,Foundation of Biomechanics,6.784000000000001,3.5119999999999996,B+ (3.3)
BENG 110,BENG,Muskoloskeletal Biomechanics,6.91,3.188333333333333,B (3.0)
BENG 112A,BENG,Biomechanics,9.4125,3.2625,B (3.0)
BENG 112A,BENG,Biomechanics I,5.634,3.4480000000000004,B+ (3.3)
BENG 112A,BENG,Soft Tissue Biomechanics,6.426666666666667,3.036,B (3.0)
BENG 112A,BENG,Tissue Biomechanics,5.9675,3.4,B+ (3.3)
BENG 112B,BENG,Biomechanics,8.635,3.0475,B (3.0)
BENG 112B,BENG,Biomechanics II,7.715,3.1225,B (3.0)
BENG 112B,BENG,Fluid and Cell Biomechanics,6.44625,3.50875,B+ (3.3)
BENG 119A,BENG,Design Develop.in Biomechanics,6.12,3.7285714285714286,A- (3.7)
BENG 119B,BENG,Design Implmntatn Biomechanics,8.032727272727273,3.885,A- (3.7)
BENG 120,BENG,Org Chem-Structural & Design,6.792142857142857,3.5907142857142857,B+ (3.3)
BENG 122A,BENG,Biosystems and Control,7.039,3.2689999999999997,B (3.0)
BENG 123,BENG,Dynamic Simulatn in Bioeng,11.065,3.125,B (3.0)
BENG 123,BENG,Systems Biology & Bioenginring,11.48625,3.015,B (3.0)
BENG 125,BENG,Modeling & Computatio/Bioengr,6.444,3.414,B+ (3.3)
BENG 126A,BENG,Design Dev Bioinformatics BENG,7.086923076923076,3.8233333333333337,A- (3.7)
BENG 126B,BENG,Design Implmnt Informatcs BENG,9.093636363636364,3.875,A- (3.7)
BENG 127A,BENG,Design Dev.Molec. Systems BENG,6.917,3.89,A- (3.7)
